"Ingredient ID",13869,6112,12029,4053,11283,11263,11091,4058,20445
"Ingredient Description","Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised","Sauce, teriyaki, ready-to-serve","Seeds, sesame seed kernels, toasted, without salt added (decorticated)","Oil, olive, salad or cooking","Onions, cooked, boiled, drained, without salt","Mushrooms, white, stir-fried","Broccoli, cooked, boiled, drained, without salt","Oil, sesame, salad or cooking","Rice, white, long-grain, regular, cooked, unenriched, without salt"
"Portion size","100g","cup","cup","tablespoon","medium","100g","100g","tsp","cup"
"Quantity",7.5,0.5,0.09375,1,1,2.5,3,2,3
"8:0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"15:0",0,0,0,0,0,0.0,0.0,0,0,0.0
"Caffeine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"15:1",0,0,0,0,0,0.0,0.0,0,0,0.0
"Folate, food",75.0,11.52,11.52,0.0,14.1,50.0,324.0,0.0,14.22,500.36
"18:3 undifferentiated",0.855,0.0,0.04356,0.102735,0.00376,0.0,0.357,0.026999999999999996,0.06162,1.450675
"Carbohydrate, by difference",0.0,22.406399999999998,3.1248,0.0,9.541,10.1,21.54,0.0,133.5258,200.238
"Serine",9.675,0,0.11100000000000002,0.0,0.0376,0.255,0.387,0.0,0.6683399999999999,11.133940000000003
"Glutamic acid",36.885,0,0.45384,0.0,0.20679999999999998,0.9275,1.6470000000000002,0.0,2.48376,42.603899999999996
"Sodium, Na",322.5,5519.52,4.68,0.27,2.82,30.0,123.0,0.0,4.74,6007.530000000001
"Vitamin B-12, added",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
"Phosphorus, P",1530.0,221.76,92.88,0.0,32.9,262.5,201.0,0.0,203.82,2544.86
"Tocotrienol, gamma",0,0,0,0,0,0.0,0.0,0,0,0.0
"Fluoride, F",168.0,0,0,0,0,0,12.0,0,0,180.0
"Histidine",7.8450000000000015,0,0.059879999999999996,0.0,0.02068,0.1525,0.18899999999999997,0.0,0.29862,8.56568
"4:0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcohol, ethyl",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"18:0",9.6975,0.0,0.24228000000000002,0.26365500000000003,0.00188,0.025,0.039,0.43199999999999994,0.023700000000000002,10.725014999999999
"Theobromine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Potassium, K",1995.0,324.0,48.72,0.135,156.04,990.0,879.0,0.0,165.9,4558.795
"Vitamin E (alpha-tocopherol)",3.5999999999999996,0.0,0.03,1.93725,0.0188,0.0,4.35,0.126,0.18960000000000002,10.251649999999998
"Lutein + zeaxanthin",0.0,0.0,0.0,0.0,3.76,0.0,3240.0,0.0,0.0,3243.76
"Betaine",122.99999999999999,0,0,0.013500000000000002,0,23.75,0.30000000000000004,0,0,147.06349999999998
"Riboflavin",1.305,0.10080000000000001,0.055920000000000004,0.0,0.02162,1.1575,0.369,0.0,0.06162,3.0714599999999996
"Sucrose",0,0,0,0,1.034,0.0,0.24,0,0,1.274
"Maltose",0,0,0,0,0.0,0.0,0.0,0,0,0.0
"Cholesterol",750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0
"Vitamin D2 (ergocalciferol)",0,0,0,0,0,0.5,0,0,0,0.5
"Folate, total",75.0,11.52,11.52,0.0,14.1,50.0,324.0,0.0,14.22,500.36
"Alanine",14.94,0,0.10632,0.0,0.03572,0.5375,0.342,0.0,0.7394399999999999,16.700979999999998
"Fatty acids, total trans",0,0.0,0,0,0,0,0,0,0,0.0
"Phenylalanine",9.705,0,0.10788,0.0,0.032900000000000006,0.23,0.34800000000000003,0.0,0.6825599999999998,11.106340000000001
"Isoleucine",11.175,0,0.0876,0.0,0.04512000000000001,0.205,0.276,0.0,0.54984,12.338560000000001
"Niacin",42.945,1.8288,0.65256,0.0,0.15510000000000002,9.967500000000001,1.6590000000000003,0.0,1.8960000000000001,59.10396
"Thiamin",0.5625,0.0432,0.1446,0.0,0.03948,0.24,0.18899999999999997,0.0,0.09480000000000001,1.31358
"20:1",0.13499999999999998,0.0,0.00804,0.041985,0.0,0.0,0.0,0.018000000000000002,0.0,0.20302499999999996
"Selenium, Se",251.25,1.584,4.127999999999999,0.0,0.564,34.75,4.800000000000001,0.0,35.55,332.62600000000003
"Leucine",19.544999999999998,0,0.15588,0.0,0.04512000000000001,0.325,0.44099999999999995,0.0,1.05228,21.564279999999997
"Vitamin E, added",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
"Sugars, total",0.0,20.304,0.0576,0.0,4.446200000000001,0.0,4.17,0.0,0.23700000000000002,29.2148
"Cystine",3.1725,0,0.04104,0.0,0.022560000000000004,0.0325,0.09300000000000001,0.0,0.2607,3.6223
"Tyrosine",7.83,0,0.0852,0.0,0.03196,0.1175,0.18,0.0,0.42660000000000003,8.67126
"Vitamin C, total ascorbic acid",0.0,0.0,0.0,0.0,4.888,0.0,194.7,0.0,0.0,199.588
"Cryptoxanthin, beta",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arginine",15.885,0,0.3018,0.0,0.17201999999999998,0.21000000000000005,0.6000000000000001,0.0,1.06176,18.23058
"Water",412.275,97.4736,0.6,0.0,82.58840000000001,227.75,267.75,0.0,324.4056,1412.8426
"Valine",12.1875,0,0.11363999999999999,0.0,0.029140000000000003,0.6275,0.41400000000000003,0.0,0.77736,14.14914
"Threonine",9.817499999999999,0,0.08448,0.0,0.031020000000000002,0.29000000000000004,0.28800000000000003,0.0,0.45504000000000006,10.96604
"20:2 n-6 c,c",0,0,0,0,0,0.0,0.0,0,0,0.0
"Retinol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lactose",0,0,0,0,0.0,0.0,0.0,0,0,0.0
"Magnesium, Mg",157.5,87.84,41.52,0.0,10.34,27.5,63.0,0.0,56.88,444.58
"Vitamin D",60.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,80.0
"Protein",245.7,8.5392,2.0352,0.0,1.2784,8.95,7.14,0.0,12.750599999999999,286.39339999999993
"Aspartic acid",22.38,0,0.18888000000000002,0.0,0.06956,0.5275,0.9870000000000002,0.0,1.19922,25.35216
"6:0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin B-12",13.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.65
"Energy",1852.5,128.16,68.04,119.34,41.36,65.0,105.0,79.56,616.2,3075.1600000000008
"16:1 undifferentiated",3.7575,0.0,0.017279999999999997,0.169425,0.0,0.0,0.026999999999999996,0.018000000000000002,0.00474,3.9939449999999996
"17:0",0,0,0,0.00297,0,0.0,0.0,0,0,0.00297
"17:1",0,0,0,0.016875,0,0.0,0.006,0,0,0.022875
"Vitamin D (D2 + D3)",1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0
"Lysine",20.7675,0,0.06528,0.0,0.0611,0.29000000000000004,0.465,0.0,0.4597800000000001,22.108659999999997
"16:0",21.075,0.0,0.5150399999999999,1.52415,0.02632,0.075,0.168,0.801,0.32706,24.511569999999992
"10:0",0.19499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19499999999999995
"Vitamin B-6",3.225,0.14400000000000002,0.017519999999999997,0.0,0.12126,0.10500000000000002,0.6000000000000001,0.0,0.44082,4.653600000000001
"Methionine",6.3975,0,0.06720000000000001,0.0,0.01034,0.085,0.129,0.0,0.29862,6.98766
"Tocopherol, gamma",0.0,0,0,0.11205,0.0,0.0,0.75,0,0,0.86205
"Carotene, beta",0.0,0.0,4.8,0.0,0.94,0.0,2787.0,0.0,0.0,2792.74
"14:1",0,0,0,0.0,0,0.0,0.0,0,0,0.0
"14:0",2.6399999999999992,0.0,0.0144,0.0,0.00094,0.0,0.0,0.0,0.00948,2.6648199999999993
"Pantothenic acid",4.845,0.28800000000000003,0.0816,0.0,0.10622,3.625,1.8479999999999999,0.0,1.8485999999999998,12.64242
"Tocopherol, beta",0.0,0.0,0,0.01485,0.0,0.0,0.03,0,0,0.04485
"Choline, total",936.0,28.08,3.0720000000000005,0.0405,6.3919999999999995,54.75,120.30000000000001,0.018000000000000002,9.954,1158.6064999999999
"Manganese, Mn",0.08249999999999998,0.0,0.17124000000000003,0.0,0.14382,0.1175,0.5820000000000001,0,2.2372799999999997,3.33434
"Hydroxyproline",2.5799999999999996,0,0,0,0,0,0,0,0,2.5799999999999996
"Vitamin D3 (cholecalciferol)",1.5,0,0,0,0,0.0,0,0,0,1.5
"Lycopene",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fructose",0,0,0,0,1.3536,0.0,2.2199999999999998,0,0,3.5736
"Glucose (dextrose)",0,0,0,0,2.0585999999999998,0.0,1.47,0,0,3.5286
"Vitamin A, IU",0.0,0.0,7.92,0.0,1.88,0.0,4644.0,0.0,0.0,4653.8
"22:6 n-3 (DHA)",0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075
"Vitamin A, RAE",0.0,0.0,0.36,0.0,0.0,0.0,231.0,0.0,0.0,231.36
"Tryptophan",1.6125,0,0.04452,0.0,0.0188,0.0925,0.10200000000000001,0.0,0.14694,2.01726
"20:5 n-3 (EPA)",0.0225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0225
"22:1 undifferentiated",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"18:3 n-6 c,c,c",0,0,0,0,0,0,0.0,0,0,0.0
"Folic acid",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Phytosterols",0,0,0,29.835,16.92,0,0,77.85,0,124.60499999999999
"20:0",0,0,0,0.055889999999999995,0,0.0,0.012,0,0,0.06788999999999999
"Vitamin K (phylloquinone)",12.75,0.0,0.0,8.127,0.47,0.0,423.29999999999995,1.224,0.0,445.8709999999999
"Fatty acids, total polyunsaturated",3.585,0.0,2.52468,1.420605,0.06861999999999999,0.4,0.51,3.753,0.36023999999999995,12.622145
"Folate, DFE",75.0,11.52,11.52,0.0,14.1,50.0,324.0,0.0,14.22,500.36
"Tocotrienol, alpha",0,0,0,0,0,0.1,0.0,0,0,0.1
"12:0",0.19499999999999995,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.20099999999999996
"18:4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"24:1 c",0,0,0,0,0,0.0,0,0,0,0.0
"Iron, Fe",20.025,2.448,0.9336,0.0756,0.2256,0.625,2.0100000000000002,0.0,0.9480000000000001,27.2908
"Menaquinone-4",0,0,0,0,0,0.0,0,0,0,0.0
"Tocotrienol, beta",0,0,0,0,0,0.0,0.0,0,0,0.0
"Proline",11.715,0,0.09288,0.0,0.03948,0.205,0.333,0.0,0.60198,12.987339999999998
"Calcium, Ca",60.0,36.0,15.72,0.135,20.68,10.0,120.0,0.0,47.4,309.93499999999995
"24:0",0,0,0,0.0,0,0.0,0,0,0,0.0
"Tocopherol, delta",0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
"18:2 undifferentiated",2.3625,0.0,2.4784800000000002,1.31787,0.06580000000000001,0.4,0.153,3.717,0.29388,10.78853
"Starch",0,0,0,0,0,0.0,0.0,0,0,0.0
"Fiber, total dietary",0.0,0.14400000000000002,2.028,0.0,1.3159999999999998,4.5,9.899999999999999,0.0,1.8960000000000001,19.784
"Fatty acids, total monounsaturated",37.980000000000004,0.0,2.17524,9.849734999999999,0.02538,0.0,0.12,3.573,0.41712000000000005,54.140474999999995
"22:4",0,0,0,0,0,0.0,0,0,0,0.0
"22:0",0,0,0,0.017415,0,0.0,0.015,0,0,0.032415
"Copper, Cu",0.585,0.14400000000000002,0.17484000000000002,0.0,0.06298,0.7274999999999998,0.183,0.0,0.32706,2.20438
"Ash",7.35,15.019200000000001,0.48,0.0,0.41359999999999997,2.3499999999999996,2.31,0.0,1.9434,29.8662
"Dihydrophylloquinone",0,0,0,0.0,0,1.75,0.0,0,0,1.75
"Galactose",0,0,0,0,0.0,0.0,0.0,0,0,0.0
"20:4 undifferentiated",0.2175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2175
"20:3 undifferentiated",0,0,0,0,0,0.0,0.0,0,0,0.0
"Carotene, alpha",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"21:5",0,0,0,0,0,0.0,0,0,0,0.0
"18:1 undifferentiated",34.08,0.0,2.14764,9.621315000000001,0.02538,0.0,0.08700000000000001,3.537,0.41237999999999997,49.910715
"Glycine",14.9625,0,0.13943999999999998,0.0,0.05358,0.2475,0.30300000000000005,0.0,0.5782799999999999,16.2843
"Fatty acids, total saturated",33.795,0.0,0.80664,1.86408,0.029140000000000003,0.1,0.237,1.278,0.36497999999999997,38.47484000000001
"Tocotrienol, delta",0,0,0,0,0,0.0,0.0,0,0,0.0
"Total lipid (fat)",89.025,0.0288,5.76,13.5,0.17859999999999998,0.825,1.23,9.0,1.3272,120.87460000000003
"22:5 n-3 (DPA)",0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
"Zinc, Zn",41.175,0.14400000000000002,1.2276,0.0,0.1974,1.4249999999999998,1.35,0.0,2.3226,47.8416
