"Ingredient ID",16123,19296,2043,11215,4042,5013,20445,11283,6150,12117
"Ingredient Description","Soy sauce made from soy and wheat (shoyu)","Honey","Spices, turmeric, ground","Garlic, raw","Oil, peanut, salad or cooking","Chicken, broilers or fryers, meat only, roasted","Rice, white, long-grain, regular, cooked, unenriched, without salt","Onions, cooked, boiled, drained, without salt","Sauce, barbecue","Nuts, coconut milk, raw (liquid expressed from grated meat and water)"
"Portion size","tbsp","cup","tsp","clove","tbsp","100g","cup","small","cup","cup"
"Quantity",1.5,0.03125,1,2,1,7,1.33,6,1,0.25
"18:2 n-6 c,c",0,0,0,0,0,0,0,0,0.2232,0,0.2232
"8:0",0.0,0.0,9e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0019999999999998,1.0020899999999997
"15:0",0,0,0.0,0,0,0,0,0,0.0027900000000000004,0,0.0027900000000000004
"Caffeine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"15:1",0,0,0.0,0,0,0,0,0,0.0,0,0.0
"Folate, food",3.36,0.211875,0.6,0.18,0.0,42.0,6.304200000000001,54.0,5.58,9.6,121.836075
"18:3 undifferentiated",0.006960000000000001,0.0,0.00252,0.0012,0.0,0.49000000000000005,0.0273182,0.0144,0.05859,0.0,0.6009882
"Carbohydrate, by difference",1.1832,8.72925,2.0142,1.9836,0.0,0.0,59.19643800000001,36.540000000000006,113.74830000000001,3.324,226.71898800000002
"Serine",0.09312000000000001,0.0006356250000000001,0.008400000000000001,0.0114,0.0,6.965,0.29629740000000004,0.144,0,0.0708,7.5896530250000005
"20:3 n-6",0,0,0,0,0,0,0,0,0.0,0,0.0
"20:3 n-3",0,0,0,0,0,0,0,0,0.0,0,0.0
"Glutamic acid",0.37896,0.0019068749999999997,0.0342,0.0483,0.0,30.331000000000003,1.1011336,0.792,0,0.3144,33.001900475
"Sodium, Na",1318.32,0.42375,0.81,1.02,0.0,602.0,2.1014,10.8,2865.33,9.0,4809.80515
"Vitamin B-12, added",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Phosphorus, P",39.84,0.42375,8.97,9.18,0.0,1365.0,90.3602,126.0,55.8,60.0,1755.57395
"Tocotrienol, gamma",0,0,0.0015000000000000002,0,0,0,0,0,0.0,0,0.0015000000000000002
"Fluoride, F",0,0.7415625,0,0,0,0,0,0,0,0,0.7415625
"Histidine",0.04176,0.00010593750000000001,0.0045,0.0067800000000000004,0.0,6.2860000000000005,0.1323882,0.07919999999999999,0,0.031799999999999995,6.582534137500001
"4:0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005580000000000001,0.0,0.005580000000000001
"Alcohol, ethyl",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"18:0",0.00168,0.0,9e-05,0.0,0.29700000000000004,3.43,0.010507000000000002,0.0072,0.022320000000000003,0.7404,4.509197
"Theobromine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Potassium, K",104.4,5.50875,62.4,24.06,0.0,1701.0,73.549,597.6,647.28,157.8,3373.59775
"Vitamin E (alpha-tocopherol)",0.0,0.0,0.1329,0.0048,2.11815,1.89,0.08405600000000002,0.072,2.232,0.09,6.623906000000001
"Lutein + zeaxanthin",0.0,0.0,0.0,0.96,0.0,0.0,0.0,14.4,245.52,0.0,260.88
"22:1 c",0,0,0,0,0,0,0,0,0.06417,0,0.06417
"Betaine",7.152,0.18009375,0.291,0,0.0,39.9,0,0,1.116,0,48.63909375
"Riboflavin",0.039599999999999996,0.004025625,0.0045,0.0066,0.0,1.246,0.0273182,0.08280000000000001,0.15066,0.0,1.561503825
"Sucrose",0.024000000000000004,0.09428437499999999,0.07139999999999999,0,0,0,0,3.9600000000000004,7.4772,0,11.626884375
"Maltose",0.0,0.15255,0.0,0,0,0,0,0.0,0.0,0,0.15255
"Cholesterol",0.0,0.0,0.0,0.0,0.0,623.0,0.0,0.0,0.0,0.0,623.0
"22:1 t",0,0,0,0,0,0,0,0,0.0,0,0.0
"Folate, total",3.36,0.211875,0.6,0.18,0.0,42.0,6.304200000000001,54.0,5.58,9.6,121.836075
"Alanine",0.07056,0.0006356250000000001,0.009899999999999999,0.00792,0.0,11.046000000000001,0.3278184,0.1368,0,0.0702,11.669834025
"16:1 t",0,0,0,0,0,0,0,0,0.0,0,0.0
"Fatty acids, total trans",0,0,0.00168,0,0,0,0,0,0.0,0,0.00168
"Phenylalanine",0.08471999999999999,0.0011653125,0.0159,0.010979999999999998,0.0,8.036,0.30260159999999997,0.126,0,0.0696,8.646966912499998
"Isoleucine",0.07632,0.0008475000000000001,0.0141,0.01302,0.0,10.696,0.24376240000000002,0.1728,0,0.05399999999999999,11.2708499
"16:1 c",0,0,0,0,0,0,0,0,0.0,0,0.0
"Niacin",0.5270400000000001,0.0128184375,0.04050000000000001,0.041999999999999996,0.0,64.211,0.8405600000000001,0.594,1.66563,0.456,68.38954843749998
"18:2 CLAs",0,0,0,0,0,0,0,0,0.0,0,0.0
"Thiamin",0.00792,0.0,0.0017400000000000002,0.012000000000000002,0.0,0.48300000000000004,0.04202800000000001,0.1512,0.06138,0.015599999999999998,0.774868
"20:1",0.0,0.0,0.0,0.0,0.17550000000000002,0.28,0.0,0.0,0.033479999999999996,0.0,0.48898
"Selenium, Se",0.12,0.08474999999999999,0.18600000000000003,0.8519999999999999,0.0,154.0,15.760500000000002,2.1599999999999997,3.627,3.72,180.51025
"Leucine",0.12888000000000002,0.001059375,0.024300000000000002,0.01848,0.0,15.196999999999997,0.4665108,0.1728,0,0.10200000000000001,16.111030174999996
"Vitamin E, added",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sugars, total",0.09600000000000002,8.6995875,0.0963,0.06,0.0,0.0,0.10507000000000001,17.028000000000002,92.73960000000001,2.0039999999999996,120.82855750000002
"Cystine",0.028319999999999998,0.00031781250000000006,0.0045,0.0039000000000000003,0.0,2.59,0.115577,0.0864,0,0.026999999999999996,2.8560148124999998
"Tyrosine",0.05856,0.0008475000000000001,0.0096,0.00486,0.0,6.8389999999999995,0.18912600000000002,0.12240000000000001,0,0.0426,7.2669935
"Vitamin C, total ascorbic acid",0.0,0.05296875,0.020999999999999998,1.8719999999999999,0.0,0.0,0.0,18.720000000000002,1.6740000000000002,1.68,24.01996875
"Cryptoxanthin, beta",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,0.0,8.37
"Arginine",0.11112,0.0005296875,0.016200000000000003,0.038040000000000004,0.0,12.215,0.47071360000000007,0.6587999999999999,0,0.2256,13.736003287499999
"Water",17.076,1.8115312500000003,0.38549999999999995,3.5148,0.0,446.53,143.819816,316.296,152.6409,40.572,1122.64654725
"Valine",0.07968,0.0009534374999999999,0.019799999999999998,0.01746,0.0,10.045,0.34462960000000004,0.1116,0,0.0834,10.702523037499997
"Threonine",0.06504,0.00042375000000000003,0.009899999999999999,0.00942,0.0,8.554,0.20173440000000004,0.1188,0,0.049800000000000004,9.009118149999999
"20:2 n-6 c,c",0,0,0.0,0,0,0,0,0,0.0027900000000000004,0,0.0027900000000000004
"Retinol",0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,112.0
"18:1 c",0,0,0.00225,0,0,0,0,0,0.12555,0,0.1278
"Lactose",0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0
"18:1 t",0,0,0.00168,0,0,0,0,0,0.0,0,0.00168
"Magnesium, Mg",17.76,0.211875,6.24,1.5,0.0,175.0,25.216800000000003,39.6,36.27,22.2,323.998675
"Vitamin D",0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,35.0
"Protein",1.9536000000000002,0.031781250000000004,0.2904,0.38160000000000005,0.0,202.51,5.652766000000001,4.896,2.2878,1.374,219.37794725
"Aspartic acid",0.17256,0.0028603125,0.0558,0.02934,0.0,18.046,0.5316542000000001,0.26639999999999997,0,0.1344,19.2390145125
"6:0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816,0.0816
"Vitamin B-12",0.0,0.0,0.0,0.0,0.0,2.31,0.0,0.0,0.0,0.0,2.31
"Energy",12.72,32.205,9.36,8.94,119.34,1330.0,273.182,158.4,479.88,138.0,2562.027
"16:1 undifferentiated",0.0,0.0,0.0,0.0,0.013500000000000002,2.4499999999999997,0.0021014,0.0,0.0,0.0,2.4656013999999997
"17:0",0,0,0.010050000000000002,0,0,0,0,0,0.008369999999999999,0,0.01842
"17:1",0,0,0.00492,0,0,0,0,0,0.0,0,0.00492
"Vitamin D (D2 + D3)",0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7
"13:0",0,0,0.0,0,0,0,0,0,0,0,0.0
"Lysine",0.09144000000000001,0.0008475000000000001,0.0114,0.016380000000000002,0.0,17.206000000000003,0.2038358,0.234,0,0.06060000000000001,17.824503300000007
"16:0",0.013920000000000002,0.0,0.00465,0.00522,1.2825,9.87,0.14499660000000003,0.1008,0.06975,1.2126,12.704436600000001
"10:0",0.0,0.0,0.02544,0.00012,0.0,0.0,0.0,0.0,0.0,0.7962,0.82176
"Fatty acids, total trans-polyenoic",0,0,0,0,0,0,0,0,0.0,0,0.0
"Vitamin B-6",0.035519999999999996,0.0025425000000000005,0.00321,0.0741,0.0,3.29,0.19543020000000003,0.4644,0.20925000000000002,0.019799999999999998,4.2942527
"Methionine",0.023280000000000002,0.00010593750000000001,0.004200000000000001,0.00456,0.0,5.607,0.1323882,0.039599999999999996,0,0.025799999999999997,5.836934137500001
"Tocopherol, gamma",0,0,0.0216,0,2.14785,0,0,0.0,0.5301,0,2.69955
"Carotene, beta",0.0,0.0,0.0,0.3,0.0,0.0,0.0,3.6,371.07,0.0,374.96999999999997
"14:1",0,0,0.00462,0,0,0,0,0,0.0,0,0.00462
"14:0",0.0,0.0,0.011819999999999999,0.0,0.013500000000000002,0.42,0.0042028,0.0036,0.005580000000000001,2.5056,2.9643027999999996
"Pantothenic acid",0.07128,0.007203750000000001,0.01626,0.03575999999999999,0.0,7.728000000000001,0.8195460000000001,0.4068,0.45756,0.10980000000000001,9.652209750000003
"Tocopherol, beta",0,0,0.0003,0,0.0621,0,0,0.0,0.0837,0,0.1461
"Choline, total",4.392,0.23306250000000003,1.4760000000000002,1.392,0.013500000000000002,551.6,4.412940000000001,24.48,19.808999999999997,5.1,612.9085025
"Manganese, Mn",0.24432,0.008475,0.5940000000000001,0.10032,0,0.133,0.9918608,0.5508,0.35154,0.5496,3.5239158
"18:3 n-3 c,c,c (ALA)",0,0,9e-05,0,0,0,0,0,0.05859,0,0.05868
"Hydroxyproline",0,0,0.0,0,0,0,0,0,0,0,0.0
"Vitamin D3 (cholecalciferol)",0,0,0,0,0,0.7,0,0,0,0,0.7
"Lycopene",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12694.5,0.0,12694.5
"Fructose",0.0,4.33708125,0.013500000000000002,0,0,0,0,5.184000000000001,39.5343,0,49.068881250000004
"Glucose (dextrose)",0.072,3.787265625,0.0114,0,0,0,0,7.884000000000001,45.728100000000005,0,57.482765625000006
"Vitamin A, IU",0.0,0.0,0.0,0.54,0.0,371.0,0.0,7.2,624.96,0.0,1003.7
"22:6 n-3 (DHA)",0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.28
"Vitamin A, RAE",0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,30.69,0.0,142.69
"Fatty acids, total trans-monoenoic",0,0,0.00168,0,0,0,0,0,0.0,0,0.00168
"18:2 t not further defined",0,0,0,0,0,0,0,0,0.0,0,0.0
"Tryptophan",0.02304,0.00042375000000000003,0.0051,0.00396,0.0,2.366,0.0651434,0.072,0,0.0162,2.5518671500000005
"20:5 n-3 (EPA)",0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.07
"22:1 undifferentiated",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06417,0.0,0.06417
"18:3 n-6 c,c,c",0,0,0.00243,0,0,0,0,0,0.0,0,0.00243
"Folic acid",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Phytosterols",0,0,0,0,27.945,0,0,64.8,0,0.6,93.345
"20:0",0,0,0.0029100000000000003,0,0.18899999999999997,0,0,0,0.005580000000000001,0,0.19748999999999997
"Vitamin K (phylloquinone)",0.0,0.0,0.402,0.102,0.09449999999999999,16.8,0.0,1.8,5.022,0.06,24.2805
"Fatty acids, total polyunsaturated",0.06312000000000001,0.0,0.02268,0.01494,4.32,11.83,0.15970640000000003,0.2628,0.28179000000000004,0.1566,17.111636400000002
"Folate, DFE",3.36,0.211875,0.6,0.18,0.0,42.0,6.304200000000001,54.0,5.58,9.6,121.836075
"Tocotrienol, alpha",0,0,0.0036,0,0,0,0,0,0.5859,0,0.5895
"12:0",0.0,0.0,9e-05,0.0,0.0,0.14,0.0,0.0,0.0,6.345600000000001,6.485690000000001
"18:4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"24:1 c",0,0,0.0,0,0,0,0,0,0.0027900000000000004,0,0.0027900000000000004
"Iron, Fe",0.348,0.04449375,1.65,0.102,0.00405,8.469999999999999,0.42028000000000004,0.8639999999999999,1.7856,0.9839999999999999,14.67242375
"Tocotrienol, beta",0,0,0.0,0,0,0,0,0,0.0,0,0.0
"Proline",0.11832000000000001,0.009534375,0.0144,0.006000000000000001,0.0,8.33,0.2668778,0.1512,0,0.057,8.953332175
"Calcium, Ca",7.92,0.635625,5.04,10.86,0.0,105.0,21.014,79.2,92.07,9.6,331.339625
"24:0",0,0,0.0,0,0.1215,0,0,0,0.0027900000000000004,0,0.12429
"Tocopherol, delta",0,0,0.0,0,0.18495,0,0,0.0,0.0558,0,0.24075000000000002
"18:2 undifferentiated",0.05616000000000001,0.0,0.02016,0.01374,4.32,9.59,0.1302868,0.252,0.2232,0.1566,14.762146800000002
"Starch",0,0,0,0,0,0,0,0,0.9764999999999999,0,0.9764999999999999
"Fiber, total dietary",0.19200000000000003,0.021187499999999998,0.6809999999999999,0.126,0.0,0.0,0.8405600000000001,5.039999999999999,2.511,1.32,10.7317475
"Fatty acids, total monounsaturated",0.02112,0.0,0.01347,0.00066,6.237,18.62,0.18492319999999998,0.09720000000000001,0.22878,0.6084,26.0115532
"22:4",0,0,0,0,0,0,0,0,0.0,0,0.0
"22:0",0,0,0.0,0,0.37799999999999995,0,0,0,0.0027900000000000004,0,0.38078999999999996
"Copper, Cu",0.010320000000000001,0.0038137499999999994,0.03900000000000001,0.01794,0.0,0.4690000000000001,0.14499660000000003,0.2412,0.20087999999999998,0.15960000000000002,1.2867503500000002
"Ash",3.6504000000000003,0.021187499999999998,0.21240000000000003,0.09,0.0,7.14,0.861574,1.584,8.5653,0.43199999999999994,22.5568615
"Dihydrophylloquinone",0,0,0.0,0,0,0.0,0,0,0,0,0.0
"Galactose",0.0,0.32840625,0.0,0,0,0,0,0.0,0.0,0,0.32840625
"20:4 undifferentiated",0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.77
"20:3 undifferentiated",0,0,0.0,0,0,0,0,0,0.0,0,0.0
"Carotene, alpha",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"18:1 undifferentiated",0.0192,0.0,0.00393,0.00066,6.047999999999999,15.54,0.1828218,0.09720000000000001,0.12555,0.6084,22.6257618
"Glycine",0.07128,0.0007415625,0.0141,0.012000000000000002,0.0,9.947000000000001,0.2563708,0.20520000000000002,0,0.0648,10.571492362499999
"Fatty acids, total saturated",0.017519999999999997,0.0,0.05514,0.00534,2.2815,14.28,0.16180779999999997,0.1116,0.12555,12.684000000000001,29.722457799999997
"Tocotrienol, delta",0,0,0.0,0,0,0,0,0,0.0,0,0.0
"Total lipid (fat)",0.1368,0.0,0.0975,0.03,13.5,51.87,0.5883920000000001,0.684,1.7577,14.304,82.968392
"22:5 n-3 (DPA)",0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.14
"Zinc, Zn",0.20879999999999999,0.02330625,0.135,0.0696,0.00135,14.7,1.029686,0.7559999999999999,0.47430000000000005,0.402,17.80004225
