"Ingredient ID",11283,11660,16033,2043,2009,2013,2014,4513
"Ingredient Description","Onions, cooked, boiled, drained, without salt","Tomatoes, red, ripe, cooked, stewed","Beans, kidney, red, mature seeds, cooked, boiled, without salt","Spices, turmeric, ground","Spices, chili powder","Spices, coriander seed","Spices, cumin seed","Vegetable oil, palm kernel"
"Portion size","cup","cup","cup","tsp","tsp","tsp","tsp, whole","tablespoon"
"Quantity",1,1,0.5,0.25,1,1,1,1.5
"8:0",0.0,0.0,0.0,2.25e-05,0.0,0,0.0,0.6731999999999999,0.6732225
"15:0",0,0,0,0.0,0.0,0,0,0,0.0
"Caffeine",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
"15:1",0,0,0,0.0,0.0,0,0,0,0.0
"Folate, food",31.5,11.11,115.05,0.15,0.7560000000000001,0.0,0.21,0.0,158.776
"18:3 undifferentiated",0.0084,0.03838,0.14868,0.00063,0.014391000000000003,0,0.0036959999999999996,0.0,0.214177
"Carbohydrate, by difference",21.315,13.180500000000002,20.178,0.50355,1.3419000000000003,0.98982,0.9290400000000001,0.0,58.437810000000006
"Serine",0.084,0.07777,0.41772,0.0021000000000000003,0.006210000000000001,0,0,0.0,0.5878000000000001
"Glutamic acid",0.462,0.64943,1.170855,0.00855,0.04293,0,0,0.0,2.333765
"Sodium, Na",6.3,459.55,1.77,0.2025,108.0,0.63,3.528,0.0,579.9805
"Vitamin B-12, added",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Phosphorus, P",73.5,38.38,125.67,2.2425,8.1,7.362,10.479000000000001,0.0,265.7335
"Tocotrienol, gamma",0,0,0,0.00037500000000000006,0.07695000000000002,0,0,0,0.07732500000000002
"Histidine",0.0462,0.036359999999999996,0.21416999999999997,0.001125,0.00486,0,0,0.0,0.3027149999999999
"4:0",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Alcohol, ethyl",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
"18:0",0.0042,0.18786000000000003,0.0070799999999999995,2.25e-05,0.010692000000000002,0.00198,0.0072239999999999995,0.5711999999999999,0.7902585
"Theobromine",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Potassium, K",348.6,249.47,356.655,15.6,52.65,22.805999999999997,37.548,0.0,1083.329
"Vitamin E (alpha-tocopherol)",0.042,0,0.026549999999999997,0.033225,1.0297800000000001,0,0.06993,0.7772399999999999,1.978725
"Lutein + zeaxanthin",8.4,0,0.0,0.0,8.37,0,9.408000000000001,0.0,26.178
"Betaine",0,0,0,0.07275,0.0729,0,0,0,0.14565
"Riboflavin",0.0483,0.0808,0.05133,0.001125,0.02538,0.00522,0.006867000000000001,0.0,0.219022
"Sucrose",2.3100000000000005,0,0,0.017849999999999998,0.02052,0,0,0,2.3483700000000005
"Maltose",0.0,0,0,0.0,0.0,0,0,0,0.0
"Cholesterol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Folate, total",31.5,11.11,115.05,0.15,0.7560000000000001,0.0,0.21,0.0,158.776
"Alanine",0.0798,0.06363,0.32214,0.0024749999999999998,0.012150000000000001,0,0,0.0,0.480195
"Fatty acids, total trans",0,0,0,0.00042,0.0,0,0,0,0.00042
"Phenylalanine",0.07350000000000001,0.07575,0.41506499999999996,0.003975,0.00999,0,0,0.0,0.5782799999999999
"Isoleucine",0.1008,0.06464,0.338955,0.003525,0.010530000000000001,0,0,0.0,0.5184500000000001
"Niacin",0.3465,1.1211000000000002,0.51153,0.010125000000000002,0.3132,0.03834,0.096159,0.0,2.436954
"Thiamin",0.0882,0.10908,0.1416,0.00043500000000000006,0.006750000000000001,0.004301999999999999,0.013188,0.0,0.36355499999999996
"20:1",0.0,0.0,0.0,0.0,0.000378,0,0.004452,0.0,0.00483
"Selenium, Se",1.26,1.212,1.062,0.04650000000000001,0.5508,0.47159999999999996,0.10920000000000002,0.0,4.7120999999999995
"Leucine",0.1008,0.10705999999999999,0.613305,0.0060750000000000005,0.01701,0,0,0.0,0.84425
"Vitamin E, added",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Sugars, total",9.933,0,0.2832,0.024075,0.19413000000000002,0,0.04725000000000001,0.0,10.481655
"Cystine",0.0504,0.029290000000000004,0.08319000000000001,0.001125,0.00486,0,0,0.0,0.16886500000000002
"Tyrosine",0.0714,0.04141,0.21594000000000002,0.0024,0.00513,0,0,0.0,0.3362800000000001
"Vitamin C, total ascorbic acid",10.92,18.381999999999998,1.062,0.0052499999999999995,0.0189,0.37800000000000006,0.1617,0.0,30.92785
"Cryptoxanthin, beta",0.0,0,0.0,0.0,94.23,0,0.0,0.0,94.23
"Arginine",0.3843,0.06767000000000001,0.47524500000000003,0.004050000000000001,0.013229999999999999,0,0,0.0,0.944495
"Water",184.50599999999997,81.43629999999999,59.241899999999994,0.09637499999999999,0.29025,0.15947999999999998,0.16926000000000002,0.0,325.89956499999994
"Valine",0.06509999999999999,0.07575,0.40179000000000004,0.0049499999999999995,0.014580000000000003,0,0,0.0,0.5621700000000001
"Threonine",0.0693,0.05454,0.323025,0.0024749999999999998,0.007290000000000001,0,0,0.0,0.45663000000000004
"20:2 n-6 c,c",0,0,0,0.0,0.0,0,0,0,0.0
"Retinol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"18:1 c",0,0,0,0.0005625,0.08413200000000001,0,0,0,0.0846945
"Lactose",0.0,0,0,0.0,0.0,0,0,0,0.0
"18:1 t",0,0,0,0.00042,0.0,0,0,0,0.00042
"Magnesium, Mg",23.1,15.15,39.825,1.56,4.023,5.94,7.686,0.0,97.28399999999999
"Vitamin D",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Protein",2.8560000000000003,1.9796,7.672949999999999,0.0726,0.3634200000000001,0.22265999999999997,0.37400999999999995,0.0,13.541239999999998
"Aspartic acid",0.15539999999999998,0.17573999999999998,0.928365,0.01395,0.04563,0,0,0.0,1.3190849999999998
"Folate, DFE",31.5,11.11,115.05,0.15,0.7560000000000001,0.0,0.21,0.0,158.776
"Vitamin B-12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Energy",92.4,79.79,112.395,2.34,7.614000000000001,5.364,7.875,175.84799999999998,483.62599999999986
"16:1 undifferentiated",0.0,0.00202,0.0,0.0,0.0022140000000000003,0.0018000000000000002,0.004452,0.0,0.010486
"17:0",0,0,0,0.0025125000000000004,0.000378,0,0,0,0.0028905000000000003
"17:1",0,0,0,0.00123,0.0,0,0,0,0.00123
"Vitamin D (D2 + D3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"13:0",0,0,0,0.0,0.000729,0,0,0,0.000729
"Lysine",0.1365,0.06262,0.526575,0.00285,0.00972,0,0,0.0,0.738265
"16:0",0.0588,0.33027,0.056639999999999996,0.0011625,0.04371300000000001,0.014580000000000003,0.023877000000000002,1.6523999999999999,2.1814425
"10:0",0.0,0.0,0.0,0.00636,0.00035099999999999997,0,0.000378,0.7548,0.761889
"Vitamin B-6",0.2709,0.08685999999999999,0.10619999999999999,0.0008025,0.056538000000000005,0,0.009134999999999999,0.0,0.5304355
"Methionine",0.0231,0.024239999999999998,0.11505000000000001,0.0010500000000000002,0.0035100000000000005,0,0,0.0,0.16695000000000002
"Tocopherol, gamma",0.0,0,0,0.0054,0.09207000000000001,0,0,0,0.09747000000000001
"Carotene, beta",2.1,0,0.0,0.0,405.0,0,16.002,0.0,423.10200000000003
"14:1",0,0,0,0.001155,0.0,0,0,0,0.001155
"14:0",0.0021,0.00707,0.0,0.0029549999999999997,0.005103000000000001,0.00036,0.000378,3.3455999999999992,3.363565999999999
"Pantothenic acid",0.2373,0.25856,0.19469999999999998,0.004065,0.023976,0,0,0.0,0.718601
"Tocopherol, beta",0.0,0,0,7.5e-05,0.0064800000000000005,0,0,0,0.006555000000000001
"Choline, total",14.28,0,26.9925,0.36900000000000005,1.7955,0,0.5186999999999999,0.0408,43.9965
"Manganese, Mn",0.32130000000000003,0.19493000000000002,0.422145,0.14850000000000002,0.045899999999999996,0.0342,0.06999300000000001,0.0,1.236968
"18:3 n-3 c,c,c (ALA)",0,0,0,2.25e-05,0.014013000000000003,0,0,0,0.014035500000000003
"Hydroxyproline",0,0,0,0.0,0.0,0,0,0,0.0
"Lycopene",0.0,0,0.0,0.0,0.5670000000000001,0,0.0,0.0,0.5670000000000001
"Fructose",3.0239999999999996,0,0,0.0033750000000000004,0.11583,0,0,0,3.1432049999999996
"Glucose (dextrose)",4.599,0,0,0.00285,0.057780000000000005,0,0,0,4.65963
"Vitamin A, IU",4.2,672.66,0.0,0.0,800.55,0.0,26.67,0.0,1504.08
"22:6 n-3 (DHA)",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Vitamin A, RAE",0.0,33.33,0.0,0.0,40.041000000000004,0.0,1.344,0.0,74.715
"Fatty acids, total trans-monoenoic",0,0,0,0.00042,0.0,0,0,0,0.00042
"Tryptophan",0.042,0.01919,0.09115499999999999,0.001275,0.0018900000000000002,0,0,0.0,0.15550999999999998
"20:5 n-3 (EPA)",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
"22:1 undifferentiated",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
"18:3 n-6 c,c,c",0,0,0,0.0006075,0.000378,0,0,0,0.0009855
"Folic acid",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Phytosterols",37.8,14.14,0,0,2.241,0.828,1.4280000000000002,19.38,75.817
"20:0",0,0,0,0.0007275000000000001,0.0014850000000000002,0,0,0,0.0022125
"Vitamin K (phylloquinone)",1.05,0,7.434,0.1005,2.8539000000000003,0,0.11340000000000001,5.038799999999999,16.590600000000002
"Fatty acids, total polyunsaturated",0.1533,0.88678,0.243375,0.00567,0.21616200000000002,0.0315,0.068859,0.3264,1.9320460000000002
"6:0",0.0,0.0,0.0,0.0,0.00035099999999999997,0,0.0,0.0408,0.041151
"Tocotrienol, alpha",0,0,0,0.0009,0.08370000000000001,0,0,0,0.08460000000000001
"12:0",0.0,0.0,0.0,2.25e-05,0.002187,0,0.000378,9.588,9.5905875
"18:4",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
"24:1 c",0,0,0,0.0,0.0,0,0,0,0.0
"Iron, Fe",0.504,1.0706,2.6019,0.4125,0.46710000000000007,0.29376,1.39356,0.0,6.7434199999999995
"Tocotrienol, beta",0,0,0,0.0,0.0,0,0,0,0.0
"Proline",0.0882,0.1313,0.32567999999999997,0.0036,0.03375,0,0,0.0,0.58253
"Calcium, Ca",46.2,26.26,24.78,1.26,8.910000000000002,12.762,19.551000000000002,0.0,139.723
"24:0",0,0,0,0.0,0.0,0,0,0,0.0
"Tocopherol, delta",0.0,0,0,0.0,0.0,0,0,0,0.0
"18:2 undifferentiated",0.14700000000000002,0.8473899999999999,0.094695,0.00504,0.201771,0.0315,0.06516300000000001,0.3264,1.718959
"Fiber, total dietary",2.94,1.7169999999999999,6.5489999999999995,0.17024999999999998,0.9396,0.7542,0.2205,0.0,13.290549999999998
"Fatty acids, total monounsaturated",0.0567,1.05848,0.034515,0.0033675,0.08669700000000001,0.24444,0.29484,2.3256,4.1046395
"22:0",0,0,0,0.0,0.0014850000000000002,0,0,0,0.0014850000000000002
"Copper, Cu",0.1407,0.09595000000000001,0.21416999999999997,0.009750000000000002,0.027000000000000003,0.01755,0.018207,0.0,0.523327
"Ash",0.924,1.6968,0.96465,0.05310000000000001,0.31887000000000004,0.10836,0.16002000000000002,0.0,4.2258000000000004
"Dihydrophylloquinone",0,0,0,0.0,0.0,0,0,0,0.0
"Galactose",0.0,0,0,0.0,0.0,0,0,0,0.0
"20:4 undifferentiated",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
"20:3 undifferentiated",0,0,0,0.0,0.0,0,0,0,0.0
"Carotene, alpha",0.0,0,0.0,0.0,56.43,0,0.0,0.0,56.43
"18:1 undifferentiated",0.0567,1.05646,0.034515,0.0009825,0.08413200000000001,0.24264000000000002,0.285978,2.3256,4.0870075
"Glycine",0.1197,0.06363,0.30001500000000003,0.003525,0.016200000000000003,0,0,0.0,0.50307
"Fatty acids, total saturated",0.06509999999999999,0.5262100000000001,0.06372,0.013785,0.066474,0.01782,0.032235,16.625999999999998,17.411343999999996
"Tocotrienol, delta",0,0,0,0.0,0.0,0,0,0,0.0
"Total lipid (fat)",0.39899999999999997,2.7068,0.4425,0.024375,0.38555999999999996,0.31986000000000003,0.46767000000000003,20.4,25.145764999999997
"22:5 n-3 (DPA)",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Zinc, Zn",0.441,0.1818,0.9469500000000001,0.03375,0.1161,0.08460000000000001,0.1008,0.0,1.905
